,origDate,origIntRate,origUPB,origLTV,origCLTV,origDebtIncRatio,WorstCreditScore,zipCode,fmacRate,fredRate,rateDiff,stateCat
213,2019-02-01,5.5,226000,90,90,44,660,389,4.46,2.7,1.04,26
214,2019-02-01,4.875,290000,89,89,48,681,359,4.46,2.7,0.415,1
215,2019-02-01,4.99,270000,95,95,34,647,783,4.46,2.7,0.5300000000000002,45
216,2019-02-01,5.625,233000,95,95,36,728,808,4.46,2.7,1.165,5
217,2019-02-01,4.75,353000,92,92,39,701,622,4.46,2.7,0.29000000000000004,15
218,2019-02-01,5.125,258000,95,95,41,764,609,4.46,2.7,0.665,15
219,2019-02-01,4.625,285000,92,92,41,735,88,4.46,2.7,0.16500000000000006,32
220,2019-02-01,4.75,300000,95,95,41,715,546,4.46,2.7,0.29000000000000004,50
221,2019-02-01,4.875,428000,95,95,42,699,558,4.46,2.7,0.415,24
222,2019-02-01,4.7,438000,93,93,46,727,290,4.46,2.7,0.2400000000000002,42
223,2019-02-01,4.875,316000,95,95,29,775,70,4.46,2.7,0.415,32
224,2019-02-01,4.75,234000,90,90,31,759,373,4.46,2.7,0.29000000000000004,44
225,2019-02-01,4.875,295000,95,95,34,769,232,4.46,2.7,0.415,47
226,2019-02-01,4.625,332000,94,94,39,722,197,4.46,2.7,0.16500000000000006,8
227,2019-02-01,4.5,105000,95,95,32,735,580,4.46,2.7,0.040000000000000036,29
228,2019-02-01,4.875,166000,94,94,42,723,370,4.46,2.7,0.415,44
229,2019-02-01,4.5,606000,95,95,45,714,906,4.46,2.7,0.040000000000000036,4
230,2019-02-01,4.375,472000,91,91,27,721,983,4.46,2.7,-0.08499999999999996,49
231,2019-02-01,4.5,251000,93,93,44,755,838,4.46,2.7,0.040000000000000036,14
232,2019-02-01,4.875,165000,95,95,50,736,407,4.46,2.7,0.415,18
233,2019-02-01,4.625,192000,84,84,39,721,932,4.46,2.7,0.16500000000000006,4
234,2019-02-01,4.375,214000,81,81,40,777,975,4.46,2.7,-0.08499999999999996,38
235,2019-02-01,4.875,453000,85,85,31,771,631,4.46,2.7,0.415,25
236,2019-02-01,4.875,320000,90,90,46,800,802,4.46,2.7,0.415,5
237,2019-02-01,4.5,669000,87,87,27,759,945,4.46,2.7,0.040000000000000036,4
238,2019-02-01,4.75,315000,69,69,41,707,804,4.46,2.7,0.29000000000000004,5
239,2019-02-01,4.375,356000,51,51,42,711,339,4.46,2.7,-0.08499999999999996,9
240,2019-02-01,4.125,176000,48,48,42,790,970,4.46,2.7,-0.335,38
241,2019-02-01,5.5,55000,46,46,44,739,539,4.46,2.7,1.04,50
242,2019-02-01,5.5,361000,73,73,45,677,730,4.46,2.7,1.04,37
243,2019-02-01,4.25,565000,41,41,46,691,940,4.46,2.7,-0.21,4
244,2019-02-01,4.625,402000,65,67,46,747,805,4.46,2.7,0.16500000000000006,5
245,2019-02-01,5.375,202000,79,79,46,660,785,4.46,2.7,0.915,45
246,2019-02-01,4.5,361000,60,60,47,642,913,4.46,2.7,0.040000000000000036,4
247,2019-02-01,5.5,424000,80,80,48,667,64,4.46,2.7,1.04,6
248,2019-02-01,5.125,230000,51,51,48,790,466,4.46,2.7,0.665,16
249,2019-02-01,4.25,297000,47,47,49,820,953,4.46,2.7,-0.21,4
250,2019-02-01,4.5,237000,51,51,49,792,19,4.46,2.7,0.040000000000000036,20
251,2019-02-01,4.875,298000,77,77,39,715,780,4.46,2.7,0.415,45
252,2019-02-01,4.625,425000,60,60,46,641,535,4.46,2.7,0.16500000000000006,50
253,2019-02-01,4.875,251000,83,83,37,747,554,4.46,2.7,0.415,24
